VERMEG  ;V00     ;SODCR011;Clé XFINSTGT-OID absente de XENDFO2F                        ;00000000000000000019
VERMEG  ;V00     ;SODCC043;Nombre enregistrements cible SERVICE                        ;00000000000000006407
VERMEG  ;V00     ;SODCC039;Nombre enregistrements cible SVCPAYMD                       ;00000000000000005060
VERMEG  ;V00     ;SODCC040;Nombre enregistrements cible SVCINSTR                       ;00000000000000012266
VERMEG  ;V00     ;SODCF053;Nb de Service versements programmés                         ;00000000000000005060
VERMEG  ;V00     ;SODCF055;Services autres que VP                                      ;00000000000000001347
VERMEG  ;V00     ;SODCF056;Services VP ou RPP                                          ;00000000000000006407
VERMEG  ;V00     ;SODCF099;AMOUNT et SPLIT nulles, SVCINSTR ig                         ;00000000000000000169
VERMEG  ;V00     ;SODCF054;Plusieurs XEFINDIS pour le service                          ;00000000000000006071
VERMEG  ;V00     ;SODCF057;Services autres que VP et RPP                               ;00000000000000000000
VERMEG  ;V00     ;SODCA007;Clé FICOVRG-ECS-OID absente de XEFINDIS                     ;00000000000000000043
VERMEG    ;V00       ;SODCC037  ;D:\MIGDATA\DEV\FICHIER\CIBLE\SERVICE.TXT                    ;000007587
VERMEG    ;V00       ;SODCC038  ;D:\MIGDATA\DEV\FICHIER\CIBLE\SWITCHSI.TXT                   ;000003412
VERMEG  ;V00     ;SODCC033;Nombre enregistrements cible TAX-DTLS                       ;00000000000000035397
VERMEG  ;V00     ;SODCC034;Nombre enregistrements cible TAXCALCR                       ;00000000000000035397
VERMEG  ;V00     ;SODCC035;Nombre enregistrements cible QUESTION                       ;00000000000000000040
VERMEG  ;V00     ;SODCC036;Nombre enregistrements cible COMPTMNT                       ;00000000000000065742
VERMEG  ;V00     ;SODCF011;Plusieurs XQUESTN pour l'avenant                            ;00000000000000000000
VERMEG  ;V00     ;SODCF012;Plusieurs XECOMPRT pour l'avenant                           ;00000000000000061029
VERMEG  ;V00     ;SODCF008;appareillage XQUESTN KO                                     ;00000000000000035357
VERMEG  ;V00     ;SODCF010;appareillage XECOMPRT KO                                    ;00000000000000030684
VERMEG  ;V00     ;SODCS004;NB RECORDS LUS dans XENDO_TAX_RULE_RESULT                   ;00000000000002913126
VERMEG  ;V00     ;SODCC032;Nombre enregistrements cible TAX-R-R                        ;00000000000000004934
VERMEG  ;V00     ;SODCF006;XETXRULR ignoré                                             ;00000000000002908192
